,pubchem id,common name,flavor profile
122,7342,Ethyl Isobutyrate,"{'sweet', 'rummy', 'fruity', 'rubber', 'alcoholic', 'ethereal', 'fusel', 'strawberry'}"
123,7344,Ethyl Lactate,"{'butter', 'sharp', 'fruity', 'buttery', 'butterscotch', 'fruit', 'tart'}"
124,7351,Isobutyl isobutyrate,"{'pineapple', 'tropical', 'grape skin'}"
125,7359,2-Ethylbutanal,"{'sweet', 'cocoa', 'fruity', 'green', 'ethereal'}"
126,7360,Tetrahydrofurfuryl Alcohol,"{'caramel', 'cauliflower', 'warm', 'vegetable', 'faint', 'oily'}"
127,7361,Furfuryl Alcohol,"{'chemical', 'caramel', 'sweet', 'bitter', 'coffee', 'musty', 'alcoholic', 'burnt', 'bread'}"
128,7362,2-Furaldehyde,"{'fragrant', 'sweet', 'baked', 'almond', 'woody', 'bread'}"
129,7363,Furfuryl mercaptan,"{'chocolate', 'roast', 'fishy', 'smoky', 'oily', 'roasted', 'sulfurous', 'fatty', 'sulfury', 'burnt', 'coffee'}"
130,7409,1-Phenylethanol,"{'acetophenone', 'sweet', 'gardenia', 'fresh', 'hyacinth'}"
131,7456,Methyl 4-hydroxybenzoate,{'odorless'}
132,7460,Alpha-Phellandrene,"{'mint', 'herbal', 'citrus', 'green', 'terpene', 'spice', 'turpentine', 'peppery', 'woody'}"
133,7462,Alpha-Terpinene,"{'camphoraceous', 'medicinal', 'herbal', 'citrus', 'terpene', 'bitter', 'woody', 'lemon'}"
134,7469,4'-Hydroxyacetophenone,"{'hawthorn', 'sweet', 'mild', 'mimosa', 'balsam'}"
135,7476,4'-Methoxyacetophenone,"{'balsamic', 'caramel', 'hawthorn', 'butter', 'sweet', 'bitter', 'vanilla', 'powdery', 'anisic', 'acacia'}"
136,7501,Styrene,"{'balsamic', 'plastic', 'sweet', 'floral', 'gasoline', 'balsam'}"
137,7509,Benzyl Mercaptan,"{'mint', 'sharp', 'alliaceous', 'onion', 'sulfurous', 'horseradish', 'garlic', 'coffee'}"
138,7520,Thioanisole,"{'toluene', 'spicy', 'woody', 'solvent'}"
139,7559,Methyl Phenylacetate,"{'sweet', 'spice', 'floral', 'waxy', 'almond', 'honey'}"
140,7583,Diphenyl oxide,"{'phenolic', 'geranium', 'green', 'leaf'}"
141,7590,Ethyl Phenylacetate,"{'chocolate', 'sweet', 'raspberry', 'cocoa', 'bitter', 'anise', 'grapefruit', 'floral', 'rose', 'fruit', 'balsam', 'melon', 'honey'}"
142,7646,Benzyl isobutyrate,"{'sweet', 'fruity', 'jasmine', 'tropical', 'jasmin', 'rose', 'oily'}"
143,7650,Benzyl butyrate,"{'berry', 'plum', 'butter', 'apricot', 'fresh', 'logenberry', 'fruity', 'jasmine', 'jasmin', 'pear', 'peach', 'cheese'}"
144,7654,Phenethyl acetate,"{'sweet', 'tobacco', 'fruity', 'tropical', 'floral', 'rose', 'honey'}"
145,7655,Phenethyl isobutyrate,"{'tea', 'fruity', 'bitter', 'floral', 'rose', 'pastry', 'peach'}"
146,7658,Phenethyl butyrate,"{'sweet', 'yeast', 'floral', 'musty', 'strawberry'}"
